gene,gene_product,Unique concatenate(chem),Unique concatenate(disease),Unique concatenate(#_chem-gene_product_Pubmed_Abstracts),Unique concatenate(#_gene_product-disease_Pubmed_Abstracts),Unique concatenate(#_chem-disease_Pubmed_Abstracts),Unique concatenate(#_chem-gene_product-disease_Pubmed_Abstracts),Unique concatenate*(PDB entry)
ACE,angiotensin I converting enzyme,chromium,melanoma (disease),3:chromium,5:melanoma (disease),"20:chromium, melanoma (disease)","0:chromium, melanoma (disease)",
ACHE,acetylcholinesterase (Cartwright blood group),chromium(6+),melanoma (disease),0:chromium(6+),0:melanoma (disease),"7:chromium(6+), melanoma (disease)","0:chromium(6+), melanoma (disease)",
ACP5,"acid phosphatase 5, tartrate resistant",chromium,melanoma (disease),4:chromium,1:melanoma (disease),"20:chromium, melanoma (disease)","0:chromium, melanoma (disease)",
AFP,alpha fetoprotein,nickel(2+),"allergic contact dermatitis, innate immune response, prostate cancer, squamous cell carcinoma",8:nickel(2+),"0:allergic contact dermatitis, 46:innate immune response, 229:prostate cancer, 173:squamous cell carcinoma","859:nickel(2+), allergic contact dermatitis, 62:nickel(2+), innate immune response, 72:nickel(2+), prostate cancer, 22:nickel(2+), squamous cell carcinoma","0:nickel(2+), allergic contact dermatitis, 0:nickel(2+), innate immune response, 0:nickel(2+), prostate cancer, 0:nickel(2+), squamous cell carcinoma",
AGRN,agrin,cobalt(2+),"cardiomyopathy, Chronic fatigue, Cognitive impairment, Dyspnea, heart failure, hypothyroidism, innate immune response, melanoma (disease), NLRP3 inflammasome complex, prostate cancer, Tinnitus",1:cobalt(2+),"1:cardiomyopathy, 2:Chronic fatigue, 2:Cognitive impairment, 2:Dyspnea, 10:heart failure, 0:hypothyroidism, 2:innate immune response, 1:melanoma (disease), 0:NLRP3 inflammasome complex, 3:prostate cancer, 0:Tinnitus","49:cobalt(2+), cardiomyopathy, 2:cobalt(2+), Chronic fatigue, 9:cobalt(2+), Cognitive impairment, 20:cobalt(2+), Dyspnea, 82:cobalt(2+), heart failure, 23:cobalt(2+), hypothyroidism, 46:cobalt(2+), innate immune response, 19:cobalt(2+), melanoma (disease), 1:cobalt(2+), NLRP3 inflammasome complex, 116:cobalt(2+), prostate cancer, 5:cobalt(2+), Tinnitus","0:cobalt(2+), cardiomyopathy, 0:cobalt(2+), Chronic fatigue, 0:cobalt(2+), Cognitive impairment, 0:cobalt(2+), Dyspnea, 0:cobalt(2+), heart failure, 0:cobalt(2+), hypothyroidism, 0:cobalt(2+), innate immune response, 0:cobalt(2+), melanoma (disease), 0:cobalt(2+), NLRP3 inflammasome complex, 0:cobalt(2+), prostate cancer, 0:cobalt(2+), Tinnitus",
ALPL,"alkaline phosphatase, biomineralization associated",chromium,melanoma (disease),2:chromium,1:melanoma (disease),"20:chromium, melanoma (disease)","0:chromium, melanoma (disease)",
ANXA1,annexin A1,chromium(6+),melanoma (disease),1:chromium(6+),3:melanoma (disease),"7:chromium(6+), melanoma (disease)","0:chromium(6+), melanoma (disease)",
BTD,biotinidase,chromium(6+),melanoma (disease),0:chromium(6+),0:melanoma (disease),"7:chromium(6+), melanoma (disease)","0:chromium(6+), melanoma (disease)",
CALR,calreticulin,nickel,"allergic contact dermatitis, anaplastic large cell lymphoma, innate immune response, Localized skin lesion, NLRP3 inflammasome complex, periprosthetic osteolysis, prostate cancer, squamous cell carcinoma",4:nickel,"0:allergic contact dermatitis, 1:anaplastic large cell lymphoma, 215:innate immune response, 1:Localized skin lesion, 1:NLRP3 inflammasome complex, 0:periprosthetic osteolysis, 43:prostate cancer, 33:squamous cell carcinoma","1912:nickel, allergic contact dermatitis, 0:nickel, anaplastic large cell lymphoma, 145:nickel, innate immune response, 2:nickel, Localized skin lesion, 2:nickel, NLRP3 inflammasome complex, 5:nickel, periprosthetic osteolysis, 141:nickel, prostate cancer, 83:nickel, squamous cell carcinoma","0:nickel, allergic contact dermatitis, 0:nickel, anaplastic large cell lymphoma, 0:nickel, innate immune response, 0:nickel, Localized skin lesion, 0:nickel, NLRP3 inflammasome complex, 0:nickel, periprosthetic osteolysis, 0:nickel, prostate cancer, 0:nickel, squamous cell carcinoma",
CCL2,C-C motif chemokine ligand 2,"nickel, cobalt, titanium","allergic contact dermatitis, anaplastic large cell lymphoma, cardiomyopathy, Chest tightness, Chronic fatigue, Cognitive impairment, Demyelinating polyneuropathy, Dyspnea, fibromyalgia, heart failure, hypothyroidism, innate immune response, melanoma (disease), metal allergy, NLRP3 inflammasome complex, Palpitations, periprosthetic osteolysis, prostate cancer, squamous cell carcinoma, Tinnitus","0:nickel, 0:cobalt, 0:titanium","0:allergic contact dermatitis, 0:anaplastic large cell lymphoma, 0:cardiomyopathy, 0:Chest tightness, 0:Chronic fatigue, 0:Cognitive impairment, 0:Demyelinating polyneuropathy, 0:Dyspnea, 0:fibromyalgia, 0:heart failure, 0:hypothyroidism, 0:innate immune response, 0:melanoma (disease), 0:metal allergy, 0:NLRP3 inflammasome complex, 0:Palpitations, 0:periprosthetic osteolysis, 0:prostate cancer, 0:squamous cell carcinoma, 0:Tinnitus","1912:nickel, allergic contact dermatitis, 0:nickel, anaplastic large cell lymphoma, 177:cobalt, cardiomyopathy, 4:cobalt, Chest tightness, 2:cobalt, Chronic fatigue, 22:cobalt, Cognitive impairment, 0:cobalt, Demyelinating polyneuropathy, 62:cobalt, Dyspnea, 2:cobalt, fibromyalgia, 175:cobalt, heart failure, 57:cobalt, hypothyroidism, 138:cobalt, innate immune response, 145:nickel, innate immune response, 208:titanium, innate immune response, 36:cobalt, melanoma (disease), 2508:nickel, metal allergy, 1:titanium, NLRP3 inflammasome complex, 2:nickel, NLRP3 inflammasome complex, 3:cobalt, NLRP3 inflammasome complex, 0:cobalt, Palpitations, 5:nickel, periprosthetic osteolysis, 65:cobalt, periprosthetic osteolysis, 225:titanium, periprosthetic osteolysis, 141:nickel, prostate cancer, 272:cobalt, prostate cancer, 83:nickel, squamous cell carcinoma, 12:cobalt, Tinnitus","0:nickel, allergic contact dermatitis, 0:nickel, anaplastic large cell lymphoma, 0:cobalt, cardiomyopathy, 0:cobalt, Chest tightness, 0:cobalt, Chronic fatigue, 0:cobalt, Cognitive impairment, 0:cobalt, Demyelinating polyneuropathy, 0:cobalt, Dyspnea, 0:cobalt, fibromyalgia, 0:cobalt, heart failure, 0:cobalt, hypothyroidism, 0:cobalt, innate immune response, 0:nickel, innate immune response, 0:titanium, innate immune response, 0:cobalt, melanoma (disease), 0:nickel, metal allergy, 0:titanium, NLRP3 inflammasome complex, 0:nickel, NLRP3 inflammasome complex, 0:cobalt, NLRP3 inflammasome complex, 0:cobalt, Palpitations, 0:nickel, periprosthetic osteolysis, 0:cobalt, periprosthetic osteolysis, 0:titanium, periprosthetic osteolysis, 0:nickel, prostate cancer, 0:cobalt, prostate cancer, 0:nickel, squamous cell carcinoma, 0:cobalt, Tinnitus",
CCL3,C-C motif chemokine ligand 3,nickel,"allergic contact dermatitis, innate immune response, Localized skin lesion, metal allergy, NLRP3 inflammasome complex, periprosthetic osteolysis, prostate cancer, squamous cell carcinoma",0:nickel,"0:allergic contact dermatitis, 0:innate immune response, 0:Localized skin lesion, 0:metal allergy, 0:NLRP3 inflammasome complex, 0:periprosthetic osteolysis, 0:prostate cancer, 0:squamous cell carcinoma","1912:nickel, allergic contact dermatitis, 145:nickel, innate immune response, 2:nickel, Localized skin lesion, 2508:nickel, metal allergy, 2:nickel, NLRP3 inflammasome complex, 5:nickel, periprosthetic osteolysis, 141:nickel, prostate cancer, 83:nickel, squamous cell carcinoma","0:nickel, allergic contact dermatitis, 0:nickel, innate immune response, 0:nickel, Localized skin lesion, 0:nickel, metal allergy, 0:nickel, NLRP3 inflammasome complex, 0:nickel, periprosthetic osteolysis, 0:nickel, prostate cancer, 0:nickel, squamous cell carcinoma",
CCL4,C-C motif chemokine ligand 4,cobalt(2+),"cardiomyopathy, Chest tightness, Cognitive impairment, demyelinating polyneuropathy, Chronic fatigue, Dyspnea, fibromyalgia, heart failure, hypothyroidism, innate immune response, melanoma (disease), NLRP3 inflammasome complex, Palpitations, periprosthetic osteolysis, prostate cancer",0:cobalt(2+),"0:cardiomyopathy, 0:Chest tightness, 0:Cognitive impairment, 0:demyelinating polyneuropathy, 0:Chronic fatigue, 0:Dyspnea, 0:fibromyalgia, 0:heart failure, 0:hypothyroidism, 0:innate immune response, 0:melanoma (disease), 0:NLRP3 inflammasome complex, 0:Palpitations, 0:periprosthetic osteolysis, 0:prostate cancer","49:cobalt(2+), cardiomyopathy, 1:cobalt(2+), Chest tightness, 9:cobalt(2+), Cognitive impairment, 0:cobalt(2+), demyelinating polyneuropathy, 2:cobalt(2+), Chronic fatigue, 20:cobalt(2+), Dyspnea, 1:cobalt(2+), fibromyalgia, 82:cobalt(2+), heart failure, 23:cobalt(2+), hypothyroidism, 46:cobalt(2+), innate immune response, 19:cobalt(2+), melanoma (disease), 1:cobalt(2+), NLRP3 inflammasome complex, 0:cobalt(2+), Palpitations, 29:cobalt(2+), periprosthetic osteolysis, 116:cobalt(2+), prostate cancer","0:cobalt(2+), cardiomyopathy, 0:cobalt(2+), Chest tightness, 0:cobalt(2+), Cognitive impairment, 0:cobalt(2+), demyelinating polyneuropathy, 0:cobalt(2+), Chronic fatigue, 0:cobalt(2+), Dyspnea, 0:cobalt(2+), fibromyalgia, 0:cobalt(2+), heart failure, 0:cobalt(2+), hypothyroidism, 0:cobalt(2+), innate immune response, 0:cobalt(2+), melanoma (disease), 0:cobalt(2+), NLRP3 inflammasome complex, 0:cobalt(2+), Palpitations, 0:cobalt(2+), periprosthetic osteolysis, 0:cobalt(2+), prostate cancer",
CD80,CD80 molecule,nickel,"innate immune response, metal allergy, NLRP3 inflammasome complex, allergic contact dermatitis, prostate cancer",4:nickel,"132:innate immune response, 4:metal allergy, 0:NLRP3 inflammasome complex, 6:allergic contact dermatitis, 14:prostate cancer","145:nickel, innate immune response, 2508:nickel, metal allergy, 2:nickel, NLRP3 inflammasome complex, 1912:nickel, allergic contact dermatitis, 141:nickel, prostate cancer","1:nickel, innate immune response, 1:nickel, metal allergy, 0:nickel, NLRP3 inflammasome complex, 1:nickel, allergic contact dermatitis, 0:nickel, prostate cancer",
CEACAM1,CEA cell adhesion molecule 1,cobalt(2+),"cardiomyopathy, Chronic fatigue, fibromyalgia, heart failure, hypothyroidism, innate immune response, melanoma (disease), NLRP3 inflammasome complex, prostate cancer",0:cobalt(2+),"0:cardiomyopathy, 0:Chronic fatigue, 0:fibromyalgia, 0:heart failure, 0:hypothyroidism, 5:innate immune response, 1:melanoma (disease), 0:NLRP3 inflammasome complex, 3:prostate cancer","49:cobalt(2+), cardiomyopathy, 2:cobalt(2+), Chronic fatigue, 1:cobalt(2+), fibromyalgia, 82:cobalt(2+), heart failure, 23:cobalt(2+), hypothyroidism, 46:cobalt(2+), innate immune response, 19:cobalt(2+), melanoma (disease), 1:cobalt(2+), NLRP3 inflammasome complex, 116:cobalt(2+), prostate cancer","0:cobalt(2+), cardiomyopathy, 0:cobalt(2+), Chronic fatigue, 0:cobalt(2+), fibromyalgia, 0:cobalt(2+), heart failure, 0:cobalt(2+), hypothyroidism, 0:cobalt(2+), innate immune response, 0:cobalt(2+), melanoma (disease), 0:cobalt(2+), NLRP3 inflammasome complex, 0:cobalt(2+), prostate cancer",
CHPF,chondroitin polymerizing factor,cobalt(2+),"cardiomyopathy, heart failure, hypothyroidism, innate immune response, melanoma (disease), NLRP3 inflammasome complex, prostate cancer",0:cobalt(2+),"0:cardiomyopathy, 0:heart failure, 0:hypothyroidism, 0:innate immune response, 1:melanoma (disease), 0:NLRP3 inflammasome complex, 0:prostate cancer","49:cobalt(2+), cardiomyopathy, 82:cobalt(2+), heart failure, 23:cobalt(2+), hypothyroidism, 46:cobalt(2+), innate immune response, 19:cobalt(2+), melanoma (disease), 1:cobalt(2+), NLRP3 inflammasome complex, 116:cobalt(2+), prostate cancer","0:cobalt(2+), cardiomyopathy, 0:cobalt(2+), heart failure, 0:cobalt(2+), hypothyroidism, 0:cobalt(2+), innate immune response, 0:cobalt(2+), melanoma (disease), 0:cobalt(2+), NLRP3 inflammasome complex, 0:cobalt(2+), prostate cancer",
CHSY1,chondroitin sulfate synthase 1,cobalt(2+),"cardiomyopathy, Chronic fatigue, Cognitive impairment, fibromyalgia, heart failure, hypothyroidism, innate immune response, melanoma (disease), NLRP3 inflammasome complex, prostate cancer, Tinnitus",0:cobalt(2+),"0:cardiomyopathy, 0:Chronic fatigue, 0:Cognitive impairment, 0:fibromyalgia, 0:heart failure, 0:hypothyroidism, 3:innate immune response, 0:melanoma (disease), 0:NLRP3 inflammasome complex, 0:prostate cancer, 0:Tinnitus","49:cobalt(2+), cardiomyopathy, 2:cobalt(2+), Chronic fatigue, 9:cobalt(2+), Cognitive impairment, 1:cobalt(2+), fibromyalgia, 82:cobalt(2+), heart failure, 23:cobalt(2+), hypothyroidism, 46:cobalt(2+), innate immune response, 19:cobalt(2+), melanoma (disease), 1:cobalt(2+), NLRP3 inflammasome complex, 116:cobalt(2+), prostate cancer, 5:cobalt(2+), Tinnitus","0:cobalt(2+), cardiomyopathy, 0:cobalt(2+), Chronic fatigue, 0:cobalt(2+), Cognitive impairment, 0:cobalt(2+), fibromyalgia, 0:cobalt(2+), heart failure, 0:cobalt(2+), hypothyroidism, 0:cobalt(2+), innate immune response, 0:cobalt(2+), melanoma (disease), 0:cobalt(2+), NLRP3 inflammasome complex, 0:cobalt(2+), prostate cancer, 0:cobalt(2+), Tinnitus",
CHSY3,chondroitin sulfate synthase 3,cobalt(2+),"hypothyroidism, melanoma (disease), prostate cancer, Tinnitus",0:cobalt(2+),"0:hypothyroidism, 0:melanoma (disease), 0:prostate cancer, 0:Tinnitus","23:cobalt(2+), hypothyroidism, 19:cobalt(2+), melanoma (disease), 116:cobalt(2+), prostate cancer, 5:cobalt(2+), Tinnitus","0:cobalt(2+), hypothyroidism, 0:cobalt(2+), melanoma (disease), 0:cobalt(2+), prostate cancer, 0:cobalt(2+), Tinnitus",
CUBN,cubilin,cobalt(2+),"cardiomyopathy, Chest tightness, Chronic fatigue, Cognitive impairment, Dyspnea, fibromyalgia, heart failure, hypothyroidism, innate immune response, melanoma (disease), NLRP3 inflammasome complex, Palpitations, Tinnitus",3:cobalt(2+),"0:cardiomyopathy, 0:Chest tightness, 0:Chronic fatigue, 1:Cognitive impairment, 0:Dyspnea, 0:fibromyalgia, 2:heart failure, 0:hypothyroidism, 2:innate immune response, 0:melanoma (disease), 1:NLRP3 inflammasome complex, 0:Palpitations, 0:Tinnitus","49:cobalt(2+), cardiomyopathy, 1:cobalt(2+), Chest tightness, 2:cobalt(2+), Chronic fatigue, 9:cobalt(2+), Cognitive impairment, 20:cobalt(2+), Dyspnea, 1:cobalt(2+), fibromyalgia, 82:cobalt(2+), heart failure, 23:cobalt(2+), hypothyroidism, 46:cobalt(2+), innate immune response, 19:cobalt(2+), melanoma (disease), 1:cobalt(2+), NLRP3 inflammasome complex, 0:cobalt(2+), Palpitations, 5:cobalt(2+), Tinnitus","0:cobalt(2+), cardiomyopathy, 0:cobalt(2+), Chest tightness, 0:cobalt(2+), Chronic fatigue, 0:cobalt(2+), Cognitive impairment, 0:cobalt(2+), Dyspnea, 0:cobalt(2+), fibromyalgia, 0:cobalt(2+), heart failure, 0:cobalt(2+), hypothyroidism, 0:cobalt(2+), innate immune response, 0:cobalt(2+), melanoma (disease), 0:cobalt(2+), NLRP3 inflammasome complex, 0:cobalt(2+), Palpitations, 0:cobalt(2+), Tinnitus",
CXCL8,C-X-C motif chemokine ligand 8,"cobalt, nickel, titanium, chromium(6+)","cardiomyopathy, Chest tightness, Chronic fatigue, Cognitive impairment, Demyelinating polyneuropathy, Dyspnea, fibromyalgia, heart failure, hypothyroidism, innate immune response, melanoma (disease), NLRP3 inflammasome complex, Palpitations, periprosthetic osteolysis, prostate cancer, Tinnitus, metal allergy, allergic contact dermatitis, anaplastic large cell lymphoma, squamous cell carcinoma","0:cobalt, 1:nickel, 1:titanium, 2:chromium(6+)","2:cardiomyopathy, 0:Chest tightness, 1:Chronic fatigue, 1:Cognitive impairment, 0:Demyelinating polyneuropathy, 1:Dyspnea, 0:fibromyalgia, 8:heart failure, 0:hypothyroidism, 37:innate immune response, 2:melanoma (disease), 0:NLRP3 inflammasome complex, 0:Palpitations, 0:periprosthetic osteolysis, 12:prostate cancer, 0:Tinnitus, 0:metal allergy, 0:allergic contact dermatitis, 0:anaplastic large cell lymphoma, 10:squamous cell carcinoma","177:cobalt, cardiomyopathy, 4:cobalt, Chest tightness, 2:cobalt, Chronic fatigue, 22:cobalt, Cognitive impairment, 0:cobalt, Demyelinating polyneuropathy, 62:cobalt, Dyspnea, 2:cobalt, fibromyalgia, 175:cobalt, heart failure, 57:cobalt, hypothyroidism, 138:cobalt, innate immune response, 36:cobalt, melanoma (disease), 3:cobalt, NLRP3 inflammasome complex, 0:cobalt, Palpitations, 65:cobalt, periprosthetic osteolysis, 272:cobalt, prostate cancer, 12:cobalt, Tinnitus, 2508:nickel, metal allergy, 1912:nickel, allergic contact dermatitis, 0:nickel, anaplastic large cell lymphoma, 145:nickel, innate immune response, 208:titanium, innate immune response, 1:titanium, NLRP3 inflammasome complex, 2:nickel, NLRP3 inflammasome complex, 5:nickel, periprosthetic osteolysis, 225:titanium, periprosthetic osteolysis, 141:nickel, prostate cancer, 83:nickel, squamous cell carcinoma, 0:chromium(6+), anaplastic large cell lymphoma, 7:chromium(6+), melanoma (disease)","0:cobalt, cardiomyopathy, 0:cobalt, Chest tightness, 0:cobalt, Chronic fatigue, 0:cobalt, Cognitive impairment, 0:cobalt, Demyelinating polyneuropathy, 0:cobalt, Dyspnea, 0:cobalt, fibromyalgia, 0:cobalt, heart failure, 0:cobalt, hypothyroidism, 0:cobalt, innate immune response, 0:cobalt, melanoma (disease), 0:cobalt, NLRP3 inflammasome complex, 0:cobalt, Palpitations, 0:cobalt, periprosthetic osteolysis, 0:cobalt, prostate cancer, 0:cobalt, Tinnitus, 0:nickel, metal allergy, 0:nickel, allergic contact dermatitis, 0:nickel, anaplastic large cell lymphoma, 0:nickel, innate immune response, 0:titanium, innate immune response, 0:titanium, NLRP3 inflammasome complex, 0:nickel, NLRP3 inflammasome complex, 0:nickel, periprosthetic osteolysis, 0:titanium, periprosthetic osteolysis, 0:nickel, prostate cancer, 0:nickel, squamous cell carcinoma, 0:chromium(6+), anaplastic large cell lymphoma, 0:chromium(6+), melanoma (disease)",
D2HGDH,D-2-hydroxyglutarate dehydrogenase,cobalt(2+),"cardiomyopathy, Chronic fatigue, Cognitive impairment, Dyspnea, heart failure, hypothyroidism, innate immune response, melanoma (disease), NLRP3 inflammasome complex, Palpitations, Tinnitus",0:cobalt(2+),"5:cardiomyopathy, 0:Chronic fatigue, 1:Cognitive impairment, 0:Dyspnea, 0:heart failure, 0:hypothyroidism, 3:innate immune response, 1:melanoma (disease), 0:NLRP3 inflammasome complex, 0:Palpitations, 0:Tinnitus","49:cobalt(2+), cardiomyopathy, 2:cobalt(2+), Chronic fatigue, 9:cobalt(2+), Cognitive impairment, 20:cobalt(2+), Dyspnea, 82:cobalt(2+), heart failure, 23:cobalt(2+), hypothyroidism, 46:cobalt(2+), innate immune response, 19:cobalt(2+), melanoma (disease), 1:cobalt(2+), NLRP3 inflammasome complex, 0:cobalt(2+), Palpitations, 5:cobalt(2+), Tinnitus","0:cobalt(2+), cardiomyopathy, 0:cobalt(2+), Chronic fatigue, 0:cobalt(2+), Cognitive impairment, 0:cobalt(2+), Dyspnea, 0:cobalt(2+), heart failure, 0:cobalt(2+), hypothyroidism, 0:cobalt(2+), innate immune response, 0:cobalt(2+), melanoma (disease), 0:cobalt(2+), NLRP3 inflammasome complex, 0:cobalt(2+), Palpitations, 0:cobalt(2+), Tinnitus",
DKK3,dickkopf WNT signaling pathway inhibitor 3,nickel,"allergic contact dermatitis, innate immune response, prostate cancer, squamous cell carcinoma",0:nickel,"0:allergic contact dermatitis, 0:innate immune response, 6:prostate cancer, 5:squamous cell carcinoma","1912:nickel, allergic contact dermatitis, 145:nickel, innate immune response, 141:nickel, prostate cancer, 83:nickel, squamous cell carcinoma","0:nickel, allergic contact dermatitis, 0:nickel, innate immune response, 0:nickel, prostate cancer, 0:nickel, squamous cell carcinoma",
EGFR,epidermal growth factor receptor,cobalt(2+),"cardiomyopathy, Chest tightness, Chronic fatigue, Cognitive impairment, demyelinating polyneuropathy, Dyspnea, fibromyalgia, heart failure, hypothyroidism, innate immune response, melanoma (disease), Neurotoxicity Syndromes, NLRP3 inflammasome complex, Palpitations, periprosthetic osteolysis, prostate cancer, Tinnitus",27:cobalt(2+),"168:cardiomyopathy, 5:Chest tightness, 3:Chronic fatigue, 53:Cognitive impairment, 6:demyelinating polyneuropathy, 154:Dyspnea, 1:fibromyalgia, 505:heart failure, 30:hypothyroidism, 366:innate immune response, 183:melanoma (disease), 11:Neurotoxicity Syndromes, 2:NLRP3 inflammasome complex, 2:Palpitations, 0:periprosthetic osteolysis, 1716:prostate cancer, 4:Tinnitus","49:cobalt(2+), cardiomyopathy, 1:cobalt(2+), Chest tightness, 2:cobalt(2+), Chronic fatigue, 9:cobalt(2+), Cognitive impairment, 0:cobalt(2+), demyelinating polyneuropathy, 20:cobalt(2+), Dyspnea, 1:cobalt(2+), fibromyalgia, 82:cobalt(2+), heart failure, 23:cobalt(2+), hypothyroidism, 46:cobalt(2+), innate immune response, 19:cobalt(2+), melanoma (disease), 20:cobalt(2+), Neurotoxicity Syndromes, 1:cobalt(2+), NLRP3 inflammasome complex, 0:cobalt(2+), Palpitations, 29:cobalt(2+), periprosthetic osteolysis, 116:cobalt(2+), prostate cancer, 5:cobalt(2+), Tinnitus","0:cobalt(2+), cardiomyopathy, 0:cobalt(2+), Chest tightness, 0:cobalt(2+), Chronic fatigue, 0:cobalt(2+), Cognitive impairment, 0:cobalt(2+), demyelinating polyneuropathy, 0:cobalt(2+), Dyspnea, 0:cobalt(2+), fibromyalgia, 0:cobalt(2+), heart failure, 0:cobalt(2+), hypothyroidism, 0:cobalt(2+), innate immune response, 0:cobalt(2+), melanoma (disease), 0:cobalt(2+), Neurotoxicity Syndromes, 0:cobalt(2+), NLRP3 inflammasome complex, 0:cobalt(2+), Palpitations, 0:cobalt(2+), periprosthetic osteolysis, 3:cobalt(2+), prostate cancer, 0:cobalt(2+), Tinnitus",
EHMT2,euchromatic histone lysine methyltransferase 2,nickel,"innate immune response, Localized skin lesion, prostate cancer, squamous cell carcinoma, allergic contact dermatitis",0:nickel,"2:innate immune response, 0:Localized skin lesion, 1:prostate cancer, 0:squamous cell carcinoma, 0:allergic contact dermatitis","145:nickel, innate immune response, 2:nickel, Localized skin lesion, 141:nickel, prostate cancer, 83:nickel, squamous cell carcinoma, 1912:nickel, allergic contact dermatitis","0:nickel, innate immune response, 0:nickel, Localized skin lesion, 0:nickel, prostate cancer, 0:nickel, squamous cell carcinoma, 0:nickel, allergic contact dermatitis",
ENDOG,endonuclease G,chromium(6+),melanoma (disease),0:chromium(6+),0:melanoma (disease),"7:chromium(6+), melanoma (disease)","0:chromium(6+), melanoma (disease)",
ENPP2,ectonucleotide pyrophosphatase/phosphodiesterase 2,cobalt(2+),"Chronic fatigue, Dyspnea, heart failure, cardiomyopathy, Chest tightness, fibromyalgia, hypothyroidism, innate immune response, melanoma (disease), NLRP3 inflammasome complex, prostate cancer, Tinnitus",0:cobalt(2+),"0:Chronic fatigue, 0:Dyspnea, 2:heart failure, 0:cardiomyopathy, 0:Chest tightness, 0:fibromyalgia, 2:hypothyroidism, 4:innate immune response, 2:melanoma (disease), 0:NLRP3 inflammasome complex, 0:prostate cancer, 0:Tinnitus","2:cobalt(2+), Chronic fatigue, 20:cobalt(2+), Dyspnea, 82:cobalt(2+), heart failure, 49:cobalt(2+), cardiomyopathy, 1:cobalt(2+), Chest tightness, 1:cobalt(2+), fibromyalgia, 23:cobalt(2+), hypothyroidism, 46:cobalt(2+), innate immune response, 19:cobalt(2+), melanoma (disease), 1:cobalt(2+), NLRP3 inflammasome complex, 116:cobalt(2+), prostate cancer, 5:cobalt(2+), Tinnitus","0:cobalt(2+), Chronic fatigue, 0:cobalt(2+), Dyspnea, 0:cobalt(2+), heart failure, 0:cobalt(2+), cardiomyopathy, 0:cobalt(2+), Chest tightness, 0:cobalt(2+), fibromyalgia, 0:cobalt(2+), hypothyroidism, 0:cobalt(2+), innate immune response, 0:cobalt(2+), melanoma (disease), 0:cobalt(2+), NLRP3 inflammasome complex, 0:cobalt(2+), prostate cancer, 0:cobalt(2+), Tinnitus",
