gene,gene_product,Unique concatenate(chem),Unique concatenate(disease),Unique concatenate(#_chem-gene_product_Pubmed_Abstracts),Unique concatenate(#_gene_product-disease_Pubmed_Abstracts),Unique concatenate(#_chem-disease_Pubmed_Abstracts),Unique concatenate(#_chem-gene_product-disease_Pubmed_Abstracts),Unique concatenate*(PDB entry)
ENPP5,ectonucleotide pyrophosphatase/phosphodiesterase family member 5,nickel,"innate immune response, NLRP3 inflammasome complex, prostate cancer",0:nickel,"0:innate immune response, 0:NLRP3 inflammasome complex, 0:prostate cancer","145:nickel, innate immune response, 2:nickel, NLRP3 inflammasome complex, 141:nickel, prostate cancer","0:nickel, innate immune response, 0:nickel, NLRP3 inflammasome complex, 0:nickel, prostate cancer",
EPO,erythropoietin,cobalt,"cardiomyopathy, Chest tightness, Chronic fatigue, Cognitive impairment, demyelinating polyneuropathy, Dyspnea, fibromyalgia, heart failure, hypothyroidism, innate immune response, melanoma (disease), NLRP3 inflammasome complex, Palpitations, prostate cancer, Tinnitus",256:cobalt,"166:cardiomyopathy, 1:Chest tightness, 146:Chronic fatigue, 158:Cognitive impairment, 0:demyelinating polyneuropathy, 51:Dyspnea, 0:fibromyalgia, 807:heart failure, 40:hypothyroidism, 119:innate immune response, 14:melanoma (disease), 0:NLRP3 inflammasome complex, 9:Palpitations, 97:prostate cancer, 3:Tinnitus","177:cobalt, cardiomyopathy, 4:cobalt, Chest tightness, 2:cobalt, Chronic fatigue, 22:cobalt, Cognitive impairment, 0:cobalt, demyelinating polyneuropathy, 62:cobalt, Dyspnea, 2:cobalt, fibromyalgia, 175:cobalt, heart failure, 57:cobalt, hypothyroidism, 138:cobalt, innate immune response, 36:cobalt, melanoma (disease), 3:cobalt, NLRP3 inflammasome complex, 0:cobalt, Palpitations, 272:cobalt, prostate cancer, 12:cobalt, Tinnitus","1:cobalt, cardiomyopathy, 0:cobalt, Chest tightness, 0:cobalt, Chronic fatigue, 0:cobalt, Cognitive impairment, 0:cobalt, demyelinating polyneuropathy, 0:cobalt, Dyspnea, 0:cobalt, fibromyalgia, 1:cobalt, heart failure, 0:cobalt, hypothyroidism, 0:cobalt, innate immune response, 1:cobalt, melanoma (disease), 0:cobalt, NLRP3 inflammasome complex, 0:cobalt, Palpitations, 0:cobalt, prostate cancer, 0:cobalt, Tinnitus",
F2,"coagulation factor II, thrombin",cobalt,"cardiomyopathy, Chest tightness, Chronic fatigue, demyelinating polyneuropathy, Dyspnea, fibromyalgia, heart failure, hypothyroidism, innate immune response, melanoma (disease), NLRP3 inflammasome complex, Palpitations, periprosthetic osteolysis, prostate cancer, Tinnitus",0:cobalt,"16:cardiomyopathy, 0:Chest tightness, 2:Chronic fatigue, 0:demyelinating polyneuropathy, 5:Dyspnea, 1:fibromyalgia, 47:heart failure, 3:hypothyroidism, 17:innate immune response, 1:melanoma (disease), 1:NLRP3 inflammasome complex, 0:Palpitations, 0:periprosthetic osteolysis, 22:prostate cancer, 0:Tinnitus","177:cobalt, cardiomyopathy, 4:cobalt, Chest tightness, 2:cobalt, Chronic fatigue, 0:cobalt, demyelinating polyneuropathy, 62:cobalt, Dyspnea, 2:cobalt, fibromyalgia, 175:cobalt, heart failure, 57:cobalt, hypothyroidism, 138:cobalt, innate immune response, 36:cobalt, melanoma (disease), 3:cobalt, NLRP3 inflammasome complex, 0:cobalt, Palpitations, 65:cobalt, periprosthetic osteolysis, 272:cobalt, prostate cancer, 12:cobalt, Tinnitus","0:cobalt, cardiomyopathy, 0:cobalt, Chest tightness, 0:cobalt, Chronic fatigue, 0:cobalt, demyelinating polyneuropathy, 0:cobalt, Dyspnea, 0:cobalt, fibromyalgia, 0:cobalt, heart failure, 0:cobalt, hypothyroidism, 0:cobalt, innate immune response, 0:cobalt, melanoma (disease), 0:cobalt, NLRP3 inflammasome complex, 0:cobalt, Palpitations, 0:cobalt, periprosthetic osteolysis, 0:cobalt, prostate cancer, 0:cobalt, Tinnitus",
FGF1,fibroblast growth factor 1,nickel,"allergic contact dermatitis, innate immune response, NLRP3 inflammasome complex, periprosthetic osteolysis, prostate cancer, squamous cell carcinoma",6:nickel,"0:allergic contact dermatitis, 9:innate immune response, 0:NLRP3 inflammasome complex, 0:periprosthetic osteolysis, 37:prostate cancer, 17:squamous cell carcinoma","1912:nickel, allergic contact dermatitis, 145:nickel, innate immune response, 2:nickel, NLRP3 inflammasome complex, 5:nickel, periprosthetic osteolysis, 141:nickel, prostate cancer, 83:nickel, squamous cell carcinoma","0:nickel, allergic contact dermatitis, 0:nickel, innate immune response, 0:nickel, NLRP3 inflammasome complex, 0:nickel, periprosthetic osteolysis, 0:nickel, prostate cancer, 0:nickel, squamous cell carcinoma",1E0O:nickel
GGT1,gamma-glutamyltransferase 1,chromium(6+),"anaplastic large cell lymphoma, melanoma (disease)",1:chromium(6+),"1:anaplastic large cell lymphoma, 6:melanoma (disease)","0:chromium(6+), anaplastic large cell lymphoma, 7:chromium(6+), melanoma (disease)","0:chromium(6+), anaplastic large cell lymphoma, 0:chromium(6+), melanoma (disease)",
HSPA5,heat shock protein family A (Hsp70) member 5,nickel,"allergic contact dermatitis, innate immune response, NLRP3 inflammasome complex, prostate cancer, squamous cell carcinoma",0:nickel,"0:allergic contact dermatitis, 8:innate immune response, 0:NLRP3 inflammasome complex, 3:prostate cancer, 4:squamous cell carcinoma","1912:nickel, allergic contact dermatitis, 145:nickel, innate immune response, 2:nickel, NLRP3 inflammasome complex, 141:nickel, prostate cancer, 83:nickel, squamous cell carcinoma","0:nickel, allergic contact dermatitis, 0:nickel, innate immune response, 0:nickel, NLRP3 inflammasome complex, 0:nickel, prostate cancer, 0:nickel, squamous cell carcinoma",
IFNG,interferon gamma,"cobalt, chromium(6+)","cardiomyopathy, Chest tightness, Chronic fatigue, Cognitive impairment, demyelinating polyneuropathy, Dyspnea, fibromyalgia, heart failure, hypothyroidism, innate immune response, melanoma (disease), NLRP3 inflammasome complex, Palpitations, periprosthetic osteolysis, prostate cancer, Tinnitus, anaplastic large cell lymphoma","59:cobalt, 70:chromium(6+)","419:cardiomyopathy, 4:Chest tightness, 95:Chronic fatigue, 142:Cognitive impairment, 42:demyelinating polyneuropathy, 62:Dyspnea, 10:fibromyalgia, 287:heart failure, 71:hypothyroidism, 7001:innate immune response, 503:melanoma (disease), 18:NLRP3 inflammasome complex, 0:Palpitations, 11:periprosthetic osteolysis, 404:prostate cancer, 3:Tinnitus, 22:anaplastic large cell lymphoma","177:cobalt, cardiomyopathy, 4:cobalt, Chest tightness, 2:cobalt, Chronic fatigue, 22:cobalt, Cognitive impairment, 0:cobalt, demyelinating polyneuropathy, 62:cobalt, Dyspnea, 2:cobalt, fibromyalgia, 175:cobalt, heart failure, 57:cobalt, hypothyroidism, 138:cobalt, innate immune response, 36:cobalt, melanoma (disease), 3:cobalt, NLRP3 inflammasome complex, 0:cobalt, Palpitations, 65:cobalt, periprosthetic osteolysis, 272:cobalt, prostate cancer, 12:cobalt, Tinnitus, 0:chromium(6+), anaplastic large cell lymphoma, 7:chromium(6+), melanoma (disease)","0:cobalt, cardiomyopathy, 0:cobalt, Chest tightness, 0:cobalt, Chronic fatigue, 0:cobalt, Cognitive impairment, 0:cobalt, demyelinating polyneuropathy, 0:cobalt, Dyspnea, 0:cobalt, fibromyalgia, 0:cobalt, heart failure, 0:cobalt, hypothyroidism, 0:cobalt, innate immune response, 0:cobalt, melanoma (disease), 0:cobalt, NLRP3 inflammasome complex, 0:cobalt, Palpitations, 0:cobalt, periprosthetic osteolysis, 0:cobalt, prostate cancer, 0:cobalt, Tinnitus, 0:chromium(6+), anaplastic large cell lymphoma, 0:chromium(6+), melanoma (disease)",
IGF1,insulin like growth factor 1,"nickel, cobalt(2+)","periprosthetic osteolysis, allergic contact dermatitis, innate immune response, NLRP3 inflammasome complex, prostate cancer, squamous cell carcinoma, cardiomyopathy, Chest tightness, Chronic fatigue, Cognitive impairment, demyelinating polyneuropathy, Dyspnea, fibromyalgia, heart failure, hypothyroidism, melanoma (disease), Palpitations, Tinnitus","17:nickel, 19:cobalt(2+)","1:periprosthetic osteolysis, 2:allergic contact dermatitis, 159:innate immune response, 1:NLRP3 inflammasome complex, 909:prostate cancer, 202:squamous cell carcinoma, 277:cardiomyopathy, 0:Chest tightness, 35:Chronic fatigue, 248:Cognitive impairment, 1:demyelinating polyneuropathy, 15:Dyspnea, 58:fibromyalgia, 480:heart failure, 257:hypothyroidism, 30:melanoma (disease), 0:Palpitations, 2:Tinnitus","5:nickel, periprosthetic osteolysis, 1912:nickel, allergic contact dermatitis, 145:nickel, innate immune response, 2:nickel, NLRP3 inflammasome complex, 141:nickel, prostate cancer, 83:nickel, squamous cell carcinoma, 49:cobalt(2+), cardiomyopathy, 1:cobalt(2+), Chest tightness, 2:cobalt(2+), Chronic fatigue, 9:cobalt(2+), Cognitive impairment, 0:cobalt(2+), demyelinating polyneuropathy, 20:cobalt(2+), Dyspnea, 1:cobalt(2+), fibromyalgia, 82:cobalt(2+), heart failure, 23:cobalt(2+), hypothyroidism, 46:cobalt(2+), innate immune response, 19:cobalt(2+), melanoma (disease), 1:cobalt(2+), NLRP3 inflammasome complex, 0:cobalt(2+), Palpitations, 29:cobalt(2+), periprosthetic osteolysis, 116:cobalt(2+), prostate cancer, 5:cobalt(2+), Tinnitus","0:nickel, periprosthetic osteolysis, 1:nickel, allergic contact dermatitis, 0:nickel, innate immune response, 0:nickel, NLRP3 inflammasome complex, 0:nickel, prostate cancer, 0:nickel, squamous cell carcinoma, 0:cobalt(2+), cardiomyopathy, 0:cobalt(2+), Chest tightness, 0:cobalt(2+), Chronic fatigue, 0:cobalt(2+), Cognitive impairment, 0:cobalt(2+), demyelinating polyneuropathy, 0:cobalt(2+), Dyspnea, 0:cobalt(2+), fibromyalgia, 0:cobalt(2+), heart failure, 0:cobalt(2+), hypothyroidism, 0:cobalt(2+), innate immune response, 0:cobalt(2+), melanoma (disease), 0:cobalt(2+), NLRP3 inflammasome complex, 0:cobalt(2+), Palpitations, 0:cobalt(2+), periprosthetic osteolysis, 0:cobalt(2+), prostate cancer, 0:cobalt(2+), Tinnitus",
IGF2,insulin like growth factor 2,nickel,"allergic contact dermatitis, innate immune response, Localized skin lesion, NLRP3 inflammasome complex, periprosthetic osteolysis, prostate cancer, squamous cell carcinoma",4:nickel,"0:allergic contact dermatitis, 33:innate immune response, 0:Localized skin lesion, 1:NLRP3 inflammasome complex, 0:periprosthetic osteolysis, 310:prostate cancer, 139:squamous cell carcinoma","1912:nickel, allergic contact dermatitis, 145:nickel, innate immune response, 2:nickel, Localized skin lesion, 2:nickel, NLRP3 inflammasome complex, 5:nickel, periprosthetic osteolysis, 141:nickel, prostate cancer, 83:nickel, squamous cell carcinoma","0:nickel, allergic contact dermatitis, 0:nickel, innate immune response, 0:nickel, Localized skin lesion, 0:nickel, NLRP3 inflammasome complex, 0:nickel, periprosthetic osteolysis, 0:nickel, prostate cancer, 0:nickel, squamous cell carcinoma",
IL16,interleukin 16,nickel,"allergic contact dermatitis, innate immune response, metal allergy, NLRP3 inflammasome complex, periprosthetic osteolysis, prostate cancer, squamous cell carcinoma",1:nickel,"6:allergic contact dermatitis, 17:innate immune response, 2:metal allergy, 0:NLRP3 inflammasome complex, 0:periprosthetic osteolysis, 9:prostate cancer, 3:squamous cell carcinoma","1912:nickel, allergic contact dermatitis, 145:nickel, innate immune response, 2508:nickel, metal allergy, 2:nickel, NLRP3 inflammasome complex, 5:nickel, periprosthetic osteolysis, 141:nickel, prostate cancer, 83:nickel, squamous cell carcinoma","0:nickel, allergic contact dermatitis, 0:nickel, innate immune response, 1:nickel, metal allergy, 0:nickel, NLRP3 inflammasome complex, 0:nickel, periprosthetic osteolysis, 0:nickel, prostate cancer, 0:nickel, squamous cell carcinoma",
IL1B,interleukin 1 beta,"chromium(6+), nickel","anaplastic large cell lymphoma, melanoma (disease), squamous cell carcinoma, allergic contact dermatitis, innate immune response, Localized skin lesion, metal allergy, NLRP3 inflammasome complex, periprosthetic osteolysis, prostate cancer","29:chromium(6+), 65:nickel","4:anaplastic large cell lymphoma, 73:melanoma (disease), 121:squamous cell carcinoma, 50:allergic contact dermatitis, 2947:innate immune response, 2:Localized skin lesion, 37:metal allergy, 514:NLRP3 inflammasome complex, 33:periprosthetic osteolysis, 138:prostate cancer","0:chromium(6+), anaplastic large cell lymphoma, 7:chromium(6+), melanoma (disease), 83:nickel, squamous cell carcinoma, 1912:nickel, allergic contact dermatitis, 0:nickel, anaplastic large cell lymphoma, 145:nickel, innate immune response, 2:nickel, Localized skin lesion, 2508:nickel, metal allergy, 2:nickel, NLRP3 inflammasome complex, 5:nickel, periprosthetic osteolysis, 141:nickel, prostate cancer","0:chromium(6+), anaplastic large cell lymphoma, 0:chromium(6+), melanoma (disease), 0:nickel, squamous cell carcinoma, 4:nickel, allergic contact dermatitis, 0:nickel, anaplastic large cell lymphoma, 2:nickel, innate immune response, 0:nickel, Localized skin lesion, 10:nickel, metal allergy, 2:nickel, NLRP3 inflammasome complex, 0:nickel, periprosthetic osteolysis, 0:nickel, prostate cancer",
IL2,interleukin 2,cobalt,"Chronic fatigue, cardiomyopathy, Chest tightness, Cognitive impairment, Dyspnea, fibromyalgia, heart failure, hypothyroidism, innate immune response, melanoma (disease), NLRP3 inflammasome complex, Palpitations, periprosthetic osteolysis, prostate cancer, Tinnitus",28:cobalt,"58:Chronic fatigue, 161:cardiomyopathy, 3:Chest tightness, 48:Cognitive impairment, 95:Dyspnea, 17:fibromyalgia, 166:heart failure, 77:hypothyroidism, 1382:innate immune response, 813:melanoma (disease), 0:NLRP3 inflammasome complex, 4:Palpitations, 5:periprosthetic osteolysis, 229:prostate cancer, 2:Tinnitus","2:cobalt, Chronic fatigue, 177:cobalt, cardiomyopathy, 4:cobalt, Chest tightness, 22:cobalt, Cognitive impairment, 62:cobalt, Dyspnea, 2:cobalt, fibromyalgia, 175:cobalt, heart failure, 57:cobalt, hypothyroidism, 138:cobalt, innate immune response, 36:cobalt, melanoma (disease), 3:cobalt, NLRP3 inflammasome complex, 0:cobalt, Palpitations, 65:cobalt, periprosthetic osteolysis, 272:cobalt, prostate cancer, 12:cobalt, Tinnitus","0:cobalt, Chronic fatigue, 0:cobalt, cardiomyopathy, 0:cobalt, Chest tightness, 0:cobalt, Cognitive impairment, 0:cobalt, Dyspnea, 0:cobalt, fibromyalgia, 0:cobalt, heart failure, 0:cobalt, hypothyroidism, 0:cobalt, innate immune response, 0:cobalt, melanoma (disease), 0:cobalt, NLRP3 inflammasome complex, 0:cobalt, Palpitations, 1:cobalt, periprosthetic osteolysis, 0:cobalt, prostate cancer, 0:cobalt, Tinnitus",
IL4,interleukin 4,cobalt,"cardiomyopathy, Chest tightness, Chronic fatigue, Cognitive impairment, Dyspnea, fibromyalgia, heart failure, hypothyroidism, innate immune response, melanoma (disease), NLRP3 inflammasome complex, Palpitations, periprosthetic osteolysis, prostate cancer, Tinnitus",11:cobalt,"93:cardiomyopathy, 2:Chest tightness, 12:Chronic fatigue, 44:Cognitive impairment, 16:Dyspnea, 8:fibromyalgia, 53:heart failure, 10:hypothyroidism, 1132:innate immune response, 38:melanoma (disease), 3:NLRP3 inflammasome complex, 0:Palpitations, 6:periprosthetic osteolysis, 82:prostate cancer, 1:Tinnitus","177:cobalt, cardiomyopathy, 4:cobalt, Chest tightness, 2:cobalt, Chronic fatigue, 22:cobalt, Cognitive impairment, 62:cobalt, Dyspnea, 2:cobalt, fibromyalgia, 175:cobalt, heart failure, 57:cobalt, hypothyroidism, 138:cobalt, innate immune response, 36:cobalt, melanoma (disease), 3:cobalt, NLRP3 inflammasome complex, 0:cobalt, Palpitations, 65:cobalt, periprosthetic osteolysis, 272:cobalt, prostate cancer, 12:cobalt, Tinnitus","0:cobalt, cardiomyopathy, 0:cobalt, Chest tightness, 0:cobalt, Chronic fatigue, 0:cobalt, Cognitive impairment, 0:cobalt, Dyspnea, 0:cobalt, fibromyalgia, 0:cobalt, heart failure, 0:cobalt, hypothyroidism, 0:cobalt, innate immune response, 0:cobalt, melanoma (disease), 0:cobalt, NLRP3 inflammasome complex, 0:cobalt, Palpitations, 0:cobalt, periprosthetic osteolysis, 0:cobalt, prostate cancer, 0:cobalt, Tinnitus",
IL5,interleukin 5,nickel,"metal allergy, NLRP3 inflammasome complex, periprosthetic osteolysis, prostate cancer, allergic contact dermatitis, innate immune response, squamous cell carcinoma",17:nickel,"39:metal allergy, 0:NLRP3 inflammasome complex, 0:periprosthetic osteolysis, 7:prostate cancer, 42:allergic contact dermatitis, 281:innate immune response, 15:squamous cell carcinoma","2508:nickel, metal allergy, 2:nickel, NLRP3 inflammasome complex, 5:nickel, periprosthetic osteolysis, 141:nickel, prostate cancer, 1912:nickel, allergic contact dermatitis, 145:nickel, innate immune response, 83:nickel, squamous cell carcinoma","12:nickel, metal allergy, 0:nickel, NLRP3 inflammasome complex, 0:nickel, periprosthetic osteolysis, 0:nickel, prostate cancer, 9:nickel, allergic contact dermatitis, 0:nickel, innate immune response, 0:nickel, squamous cell carcinoma",
IL6,interleukin 6,"nickel, chromium, chromium(6+), cobalt, titanium","allergic contact dermatitis, anaplastic large cell lymphoma, innate immune response, metal allergy, NLRP3 inflammasome complex, periprosthetic osteolysis, prostate cancer, squamous cell carcinoma, melanoma (disease), Cognitive impairment, Demyelinating polyneuropathy, Chest tightness, cardiomyopathy, Chronic fatigue, demyelinating polyneuropathy, Dyspnea, fibromyalgia, heart failure, hypothyroidism, Palpitations, Tinnitus","83:nickel, 92:chromium, 92:chromium(6+), 123:cobalt, 230:titanium","50:allergic contact dermatitis, 21:anaplastic large cell lymphoma, 3348:innate immune response, 70:metal allergy, 26:NLRP3 inflammasome complex, 59:periprosthetic osteolysis, 767:prostate cancer, 506:squamous cell carcinoma, 115:melanoma (disease), 660:Cognitive impairment, 12:Demyelinating polyneuropathy, 9:Chest tightness, 796:cardiomyopathy, 154:Chronic fatigue, 12:demyelinating polyneuropathy, 138:Dyspnea, 42:fibromyalgia, 1361:heart failure, 63:hypothyroidism, 4:Palpitations, 6:Tinnitus","1912:nickel, allergic contact dermatitis, 0:nickel, anaplastic large cell lymphoma, 145:nickel, innate immune response, 2508:nickel, metal allergy, 2:nickel, NLRP3 inflammasome complex, 5:nickel, periprosthetic osteolysis, 141:nickel, prostate cancer, 83:nickel, squamous cell carcinoma, 0:chromium, anaplastic large cell lymphoma, 0:chromium(6+), anaplastic large cell lymphoma, 7:chromium(6+), melanoma (disease), 20:chromium, melanoma (disease), 22:cobalt, Cognitive impairment, 0:cobalt, Demyelinating polyneuropathy, 4:cobalt, Chest tightness, 177:cobalt, cardiomyopathy, 2:cobalt, Chronic fatigue, 0:cobalt, demyelinating polyneuropathy, 62:cobalt, Dyspnea, 2:cobalt, fibromyalgia, 175:cobalt, heart failure, 57:cobalt, hypothyroidism, 138:cobalt, innate immune response, 36:cobalt, melanoma (disease), 3:cobalt, NLRP3 inflammasome complex, 0:cobalt, Palpitations, 65:cobalt, periprosthetic osteolysis, 272:cobalt, prostate cancer, 12:cobalt, Tinnitus, 208:titanium, innate immune response, 1:titanium, NLRP3 inflammasome complex, 225:titanium, periprosthetic osteolysis","8:nickel, allergic contact dermatitis, 0:nickel, anaplastic large cell lymphoma, 2:nickel, innate immune response, 7:nickel, metal allergy, 0:nickel, NLRP3 inflammasome complex, 0:nickel, periprosthetic osteolysis, 0:nickel, prostate cancer, 1:nickel, squamous cell carcinoma, 0:chromium, anaplastic large cell lymphoma, 0:chromium(6+), anaplastic large cell lymphoma, 0:chromium(6+), melanoma (disease), 0:chromium, melanoma (disease), 0:cobalt, Cognitive impairment, 0:cobalt, Demyelinating polyneuropathy, 0:cobalt, Chest tightness, 0:cobalt, cardiomyopathy, 0:cobalt, Chronic fatigue, 0:cobalt, demyelinating polyneuropathy, 0:cobalt, Dyspnea, 0:cobalt, fibromyalgia, 1:cobalt, heart failure, 0:cobalt, hypothyroidism, 3:cobalt, innate immune response, 0:cobalt, melanoma (disease), 0:cobalt, NLRP3 inflammasome complex, 0:cobalt, Palpitations, 2:cobalt, periprosthetic osteolysis, 0:cobalt, prostate cancer, 0:cobalt, Tinnitus, 12:titanium, innate immune response, 0:titanium, NLRP3 inflammasome complex, 28:titanium, periprosthetic osteolysis",
INS,insulin,"chromium(3+), chromium",melanoma (disease),"384:chromium(3+), 876:chromium",106:melanoma (disease),"6:chromium(3+), melanoma (disease), 20:chromium, melanoma (disease)","0:chromium(3+), melanoma (disease), 0:chromium, melanoma (disease)",
LCN2,lipocalin 2,nickel,"allergic contact dermatitis, innate immune response, NLRP3 inflammasome complex, prostate cancer, squamous cell carcinoma",2:nickel,"3:allergic contact dermatitis, 162:innate immune response, 2:NLRP3 inflammasome complex, 15:prostate cancer, 32:squamous cell carcinoma","1912:nickel, allergic contact dermatitis, 145:nickel, innate immune response, 2:nickel, NLRP3 inflammasome complex, 141:nickel, prostate cancer, 83:nickel, squamous cell carcinoma","1:nickel, allergic contact dermatitis, 0:nickel, innate immune response, 0:nickel, NLRP3 inflammasome complex, 0:nickel, prostate cancer, 1:nickel, squamous cell carcinoma",
LHB,luteinizing hormone subunit beta,"cobalt, nickel","fibromyalgia, cardiomyopathy, Chest tightness, Chronic fatigue, Dyspnea, heart failure, hypothyroidism, innate immune response, melanoma (disease), NLRP3 inflammasome complex, Palpitations, prostate cancer, Tinnitus, allergic contact dermatitis, anaplastic large cell lymphoma, metal allergy, squamous cell carcinoma","0:cobalt, 3:nickel","0:fibromyalgia, 0:cardiomyopathy, 0:Chest tightness, 0:Chronic fatigue, 0:Dyspnea, 1:heart failure, 45:hypothyroidism, 0:innate immune response, 0:melanoma (disease), 0:NLRP3 inflammasome complex, 0:Palpitations, 15:prostate cancer, 0:Tinnitus, 0:allergic contact dermatitis, 1:anaplastic large cell lymphoma, 0:metal allergy, 3:squamous cell carcinoma","2:cobalt, fibromyalgia, 177:cobalt, cardiomyopathy, 4:cobalt, Chest tightness, 2:cobalt, Chronic fatigue, 62:cobalt, Dyspnea, 175:cobalt, heart failure, 57:cobalt, hypothyroidism, 138:cobalt, innate immune response, 36:cobalt, melanoma (disease), 3:cobalt, NLRP3 inflammasome complex, 0:cobalt, Palpitations, 272:cobalt, prostate cancer, 12:cobalt, Tinnitus, 145:nickel, innate immune response, 1912:nickel, allergic contact dermatitis, 0:nickel, anaplastic large cell lymphoma, 2508:nickel, metal allergy, 2:nickel, NLRP3 inflammasome complex, 141:nickel, prostate cancer, 83:nickel, squamous cell carcinoma","0:cobalt, fibromyalgia, 0:cobalt, cardiomyopathy, 0:cobalt, Chest tightness, 0:cobalt, Chronic fatigue, 0:cobalt, Dyspnea, 0:cobalt, heart failure, 0:cobalt, hypothyroidism, 0:cobalt, innate immune response, 0:cobalt, melanoma (disease), 0:cobalt, NLRP3 inflammasome complex, 0:cobalt, Palpitations, 0:cobalt, prostate cancer, 0:cobalt, Tinnitus, 0:nickel, innate immune response, 0:nickel, allergic contact dermatitis, 0:nickel, anaplastic large cell lymphoma, 0:nickel, metal allergy, 0:nickel, NLRP3 inflammasome complex, 0:nickel, prostate cancer, 0:nickel, squamous cell carcinoma",
LTBP4,latent transforming growth factor beta binding protein 4,nickel,"innate immune response, NLRP3 inflammasome complex, periprosthetic osteolysis, prostate cancer, squamous cell carcinoma",0:nickel,"1:innate immune response, 0:NLRP3 inflammasome complex, 0:periprosthetic osteolysis, 4:prostate cancer, 3:squamous cell carcinoma","145:nickel, innate immune response, 2:nickel, NLRP3 inflammasome complex, 5:nickel, periprosthetic osteolysis, 141:nickel, prostate cancer, 83:nickel, squamous cell carcinoma","0:nickel, innate immune response, 0:nickel, NLRP3 inflammasome complex, 0:nickel, periprosthetic osteolysis, 0:nickel, prostate cancer, 0:nickel, squamous cell carcinoma",
LYZ,lysozyme,chromium(6+),melanoma (disease),16:chromium(6+),22:melanoma (disease),"7:chromium(6+), melanoma (disease)","0:chromium(6+), melanoma (disease)",
