gene,gene_product,Unique concatenate(chem),Unique concatenate(disease),Unique concatenate(#_chem-gene_product_Pubmed_Abstracts),Unique concatenate(#_gene_product-disease_Pubmed_Abstracts),Unique concatenate(#_chem-disease_Pubmed_Abstracts),Unique concatenate(#_chem-gene_product-disease_Pubmed_Abstracts),Unique concatenate*(PDB entry)
MMP2,matrix metallopeptidase 2,nickel,"innate immune response, allergic contact dermatitis, anaplastic large cell lymphoma, Localized skin lesion, NLRP3 inflammasome complex, prostate cancer, squamous cell carcinoma",30:nickel,"248:innate immune response, 13:allergic contact dermatitis, 7:anaplastic large cell lymphoma, 1:Localized skin lesion, 0:NLRP3 inflammasome complex, 629:prostate cancer, 977:squamous cell carcinoma","145:nickel, innate immune response, 1912:nickel, allergic contact dermatitis, 0:nickel, anaplastic large cell lymphoma, 2:nickel, Localized skin lesion, 2:nickel, NLRP3 inflammasome complex, 141:nickel, prostate cancer, 83:nickel, squamous cell carcinoma","0:nickel, innate immune response, 2:nickel, allergic contact dermatitis, 0:nickel, anaplastic large cell lymphoma, 0:nickel, Localized skin lesion, 0:nickel, NLRP3 inflammasome complex, 0:nickel, prostate cancer, 0:nickel, squamous cell carcinoma",
MMP9,matrix metallopeptidase 9,nickel,"prostate cancer, allergic contact dermatitis, innate immune response, NLRP3 inflammasome complex, periprosthetic osteolysis, squamous cell carcinoma",22:nickel,"571:prostate cancer, 12:allergic contact dermatitis, 253:innate immune response, 1:NLRP3 inflammasome complex, 4:periprosthetic osteolysis, 800:squamous cell carcinoma","141:nickel, prostate cancer, 1912:nickel, allergic contact dermatitis, 145:nickel, innate immune response, 2:nickel, NLRP3 inflammasome complex, 5:nickel, periprosthetic osteolysis, 83:nickel, squamous cell carcinoma","0:nickel, prostate cancer, 1:nickel, allergic contact dermatitis, 0:nickel, innate immune response, 0:nickel, NLRP3 inflammasome complex, 0:nickel, periprosthetic osteolysis, 0:nickel, squamous cell carcinoma",
NLRP3,NLR family pyrin domain containing 3,nickel,"allergic contact dermatitis, innate immune response, NLRP3 inflammasome complex, periprosthetic osteolysis, prostate cancer, squamous cell carcinoma",9:nickel,"6:allergic contact dermatitis, 1051:innate immune response, 832:NLRP3 inflammasome complex, 5:periprosthetic osteolysis, 8:prostate cancer, 16:squamous cell carcinoma","1912:nickel, allergic contact dermatitis, 145:nickel, innate immune response, 2:nickel, NLRP3 inflammasome complex, 5:nickel, periprosthetic osteolysis, 141:nickel, prostate cancer, 83:nickel, squamous cell carcinoma","1:nickel, allergic contact dermatitis, 1:nickel, innate immune response, 1:nickel, NLRP3 inflammasome complex, 0:nickel, periprosthetic osteolysis, 0:nickel, prostate cancer, 0:nickel, squamous cell carcinoma",
NTS,neurotensin,chromium,melanoma (disease),2:chromium,3:melanoma (disease),"20:chromium, melanoma (disease)","0:chromium, melanoma (disease)",
OSMR,oncostatin M receptor,nickel,"allergic contact dermatitis, innate immune response, NLRP3 inflammasome complex, prostate cancer, squamous cell carcinoma",1:nickel,"1:allergic contact dermatitis, 50:innate immune response, 0:NLRP3 inflammasome complex, 17:prostate cancer, 14:squamous cell carcinoma","1912:nickel, allergic contact dermatitis, 145:nickel, innate immune response, 2:nickel, NLRP3 inflammasome complex, 141:nickel, prostate cancer, 83:nickel, squamous cell carcinoma","0:nickel, allergic contact dermatitis, 0:nickel, innate immune response, 0:nickel, NLRP3 inflammasome complex, 0:nickel, prostate cancer, 0:nickel, squamous cell carcinoma",
PPBP,pro-platelet basic protein,nickel,"innate immune response, allergic contact dermatitis, metal allergy, NLRP3 inflammasome complex, periprosthetic osteolysis, prostate cancer",0:nickel,"2:innate immune response, 0:allergic contact dermatitis, 0:metal allergy, 0:NLRP3 inflammasome complex, 0:periprosthetic osteolysis, 0:prostate cancer","145:nickel, innate immune response, 1912:nickel, allergic contact dermatitis, 2508:nickel, metal allergy, 2:nickel, NLRP3 inflammasome complex, 5:nickel, periprosthetic osteolysis, 141:nickel, prostate cancer","0:nickel, innate immune response, 0:nickel, allergic contact dermatitis, 0:nickel, metal allergy, 0:nickel, NLRP3 inflammasome complex, 0:nickel, periprosthetic osteolysis, 0:nickel, prostate cancer",
PRNP,prion protein,nickel,"allergic contact dermatitis, innate immune response, Localized skin lesion, NLRP3 inflammasome complex, prostate cancer, squamous cell carcinoma",36:nickel,"0:allergic contact dermatitis, 233:innate immune response, 0:Localized skin lesion, 5:NLRP3 inflammasome complex, 6:prostate cancer, 7:squamous cell carcinoma","1912:nickel, allergic contact dermatitis, 145:nickel, innate immune response, 2:nickel, Localized skin lesion, 2:nickel, NLRP3 inflammasome complex, 141:nickel, prostate cancer, 83:nickel, squamous cell carcinoma","0:nickel, allergic contact dermatitis, 1:nickel, innate immune response, 0:nickel, Localized skin lesion, 0:nickel, NLRP3 inflammasome complex, 0:nickel, prostate cancer, 0:nickel, squamous cell carcinoma",
PTGS2,prostaglandin-endoperoxide synthase 2,"chromium(6+), nickel","melanoma (disease), allergic contact dermatitis, innate immune response, metal allergy, NLRP3 inflammasome complex, periprosthetic osteolysis, prostate cancer, squamous cell carcinoma","8:chromium(6+), 15:nickel","60:melanoma (disease), 6:allergic contact dermatitis, 319:innate immune response, 20:metal allergy, 3:NLRP3 inflammasome complex, 11:periprosthetic osteolysis, 392:prostate cancer, 663:squamous cell carcinoma","7:chromium(6+), melanoma (disease), 1912:nickel, allergic contact dermatitis, 145:nickel, innate immune response, 2508:nickel, metal allergy, 2:nickel, NLRP3 inflammasome complex, 5:nickel, periprosthetic osteolysis, 141:nickel, prostate cancer, 83:nickel, squamous cell carcinoma","0:chromium(6+), melanoma (disease), 0:nickel, allergic contact dermatitis, 0:nickel, innate immune response, 1:nickel, metal allergy, 0:nickel, NLRP3 inflammasome complex, 0:nickel, periprosthetic osteolysis, 0:nickel, prostate cancer, 0:nickel, squamous cell carcinoma",
PTX3,pentraxin 3,nickel,"allergic contact dermatitis, innate immune response, NLRP3 inflammasome complex, periprosthetic osteolysis, prostate cancer, squamous cell carcinoma",3:nickel,"1:allergic contact dermatitis, 288:innate immune response, 1:NLRP3 inflammasome complex, 0:periprosthetic osteolysis, 12:prostate cancer, 11:squamous cell carcinoma","1912:nickel, allergic contact dermatitis, 145:nickel, innate immune response, 2:nickel, NLRP3 inflammasome complex, 5:nickel, periprosthetic osteolysis, 141:nickel, prostate cancer, 83:nickel, squamous cell carcinoma","1:nickel, allergic contact dermatitis, 0:nickel, innate immune response, 0:nickel, NLRP3 inflammasome complex, 0:nickel, periprosthetic osteolysis, 0:nickel, prostate cancer, 0:nickel, squamous cell carcinoma",
RPTN,repetin,nickel,"innate immune response, NLRP3 inflammasome complex",0:nickel,"0:innate immune response, 0:NLRP3 inflammasome complex","145:nickel, innate immune response, 2:nickel, NLRP3 inflammasome complex","0:nickel, innate immune response, 0:nickel, NLRP3 inflammasome complex",
S100A8,S100 calcium binding protein A8,nickel,"squamous cell carcinoma, allergic contact dermatitis, innate immune response, NLRP3 inflammasome complex, periprosthetic osteolysis, prostate cancer",0:nickel,"6:squamous cell carcinoma, 0:allergic contact dermatitis, 12:innate immune response, 0:NLRP3 inflammasome complex, 0:periprosthetic osteolysis, 4:prostate cancer","83:nickel, squamous cell carcinoma, 1912:nickel, allergic contact dermatitis, 145:nickel, innate immune response, 2:nickel, NLRP3 inflammasome complex, 5:nickel, periprosthetic osteolysis, 141:nickel, prostate cancer","0:nickel, squamous cell carcinoma, 0:nickel, allergic contact dermatitis, 0:nickel, innate immune response, 0:nickel, NLRP3 inflammasome complex, 0:nickel, periprosthetic osteolysis, 0:nickel, prostate cancer",5W1F:nickel
SDC1,syndecan 1,cobalt(2+),"cardiomyopathy, Chest tightness, Chronic fatigue, Dyspnea, fibromyalgia, heart failure, hypothyroidism, innate immune response, melanoma (disease), NLRP3 inflammasome complex, Palpitations, periprosthetic osteolysis, prostate cancer, Tinnitus",0:cobalt(2+),"13:cardiomyopathy, 0:Chest tightness, 1:Chronic fatigue, 3:Dyspnea, 0:fibromyalgia, 27:heart failure, 0:hypothyroidism, 17:innate immune response, 5:melanoma (disease), 0:NLRP3 inflammasome complex, 0:Palpitations, 0:periprosthetic osteolysis, 42:prostate cancer, 0:Tinnitus","49:cobalt(2+), cardiomyopathy, 1:cobalt(2+), Chest tightness, 2:cobalt(2+), Chronic fatigue, 20:cobalt(2+), Dyspnea, 1:cobalt(2+), fibromyalgia, 82:cobalt(2+), heart failure, 23:cobalt(2+), hypothyroidism, 46:cobalt(2+), innate immune response, 19:cobalt(2+), melanoma (disease), 1:cobalt(2+), NLRP3 inflammasome complex, 0:cobalt(2+), Palpitations, 29:cobalt(2+), periprosthetic osteolysis, 116:cobalt(2+), prostate cancer, 5:cobalt(2+), Tinnitus","0:cobalt(2+), cardiomyopathy, 0:cobalt(2+), Chest tightness, 0:cobalt(2+), Chronic fatigue, 0:cobalt(2+), Dyspnea, 0:cobalt(2+), fibromyalgia, 0:cobalt(2+), heart failure, 0:cobalt(2+), hypothyroidism, 0:cobalt(2+), innate immune response, 0:cobalt(2+), melanoma (disease), 0:cobalt(2+), NLRP3 inflammasome complex, 0:cobalt(2+), Palpitations, 0:cobalt(2+), periprosthetic osteolysis, 0:cobalt(2+), prostate cancer, 0:cobalt(2+), Tinnitus",
SERPINA1,serpin family A member 1,chromium(3+),melanoma (disease),0:chromium(3+),0:melanoma (disease),"6:chromium(3+), melanoma (disease)","0:chromium(3+), melanoma (disease)",
SERPINE1,serpin family E member 1,"nickel, cobalt","allergic contact dermatitis, cardiomyopathy, Chest tightness, Chronic fatigue, Dyspnea, fibromyalgia, heart failure, hypothyroidism, innate immune response, melanoma (disease), metal allergy, Neurotoxicity Syndromes, NLRP3 inflammasome complex, Palpitations, periprosthetic osteolysis, prostate cancer, squamous cell carcinoma, Tinnitus","0:nickel, 0:cobalt","0:allergic contact dermatitis, 0:cardiomyopathy, 0:Chest tightness, 0:Chronic fatigue, 0:Dyspnea, 0:fibromyalgia, 0:heart failure, 0:hypothyroidism, 0:innate immune response, 0:melanoma (disease), 0:metal allergy, 0:Neurotoxicity Syndromes, 0:NLRP3 inflammasome complex, 0:Palpitations, 0:periprosthetic osteolysis, 0:prostate cancer, 0:squamous cell carcinoma, 0:Tinnitus","1912:nickel, allergic contact dermatitis, 177:cobalt, cardiomyopathy, 4:cobalt, Chest tightness, 2:cobalt, Chronic fatigue, 62:cobalt, Dyspnea, 2:cobalt, fibromyalgia, 175:cobalt, heart failure, 57:cobalt, hypothyroidism, 138:cobalt, innate immune response, 145:nickel, innate immune response, 36:cobalt, melanoma (disease), 2508:nickel, metal allergy, 51:cobalt, Neurotoxicity Syndromes, 2:nickel, NLRP3 inflammasome complex, 3:cobalt, NLRP3 inflammasome complex, 0:cobalt, Palpitations, 5:nickel, periprosthetic osteolysis, 65:cobalt, periprosthetic osteolysis, 141:nickel, prostate cancer, 272:cobalt, prostate cancer, 83:nickel, squamous cell carcinoma, 12:cobalt, Tinnitus","0:nickel, allergic contact dermatitis, 0:cobalt, cardiomyopathy, 0:cobalt, Chest tightness, 0:cobalt, Chronic fatigue, 0:cobalt, Dyspnea, 0:cobalt, fibromyalgia, 0:cobalt, heart failure, 0:cobalt, hypothyroidism, 0:cobalt, innate immune response, 0:nickel, innate immune response, 0:cobalt, melanoma (disease), 0:nickel, metal allergy, 0:cobalt, Neurotoxicity Syndromes, 0:nickel, NLRP3 inflammasome complex, 0:cobalt, NLRP3 inflammasome complex, 0:cobalt, Palpitations, 0:nickel, periprosthetic osteolysis, 0:cobalt, periprosthetic osteolysis, 0:nickel, prostate cancer, 0:cobalt, prostate cancer, 0:nickel, squamous cell carcinoma, 0:cobalt, Tinnitus",
SFTPB,surfactant protein B,chromium,melanoma (disease),1:chromium,0:melanoma (disease),"20:chromium, melanoma (disease)","0:chromium, melanoma (disease)",
SLC8A1,solute carrier family 8 member A1,nickel,"allergic contact dermatitis, innate immune response, NLRP3 inflammasome complex, prostate cancer",0:nickel,"0:allergic contact dermatitis, 0:innate immune response, 0:NLRP3 inflammasome complex, 0:prostate cancer","1912:nickel, allergic contact dermatitis, 145:nickel, innate immune response, 2:nickel, NLRP3 inflammasome complex, 141:nickel, prostate cancer","0:nickel, allergic contact dermatitis, 0:nickel, innate immune response, 0:nickel, NLRP3 inflammasome complex, 0:nickel, prostate cancer",
SPP1,secreted phosphoprotein 1,nickel,"allergic contact dermatitis, innate immune response, metal allergy, NLRP3 inflammasome complex, periprosthetic osteolysis, prostate cancer, squamous cell carcinoma",11:nickel,"6:allergic contact dermatitis, 105:innate immune response, 3:metal allergy, 1:NLRP3 inflammasome complex, 3:periprosthetic osteolysis, 151:prostate cancer, 138:squamous cell carcinoma","1912:nickel, allergic contact dermatitis, 145:nickel, innate immune response, 2508:nickel, metal allergy, 2:nickel, NLRP3 inflammasome complex, 5:nickel, periprosthetic osteolysis, 141:nickel, prostate cancer, 83:nickel, squamous cell carcinoma","1:nickel, allergic contact dermatitis, 0:nickel, innate immune response, 1:nickel, metal allergy, 0:nickel, NLRP3 inflammasome complex, 0:nickel, periprosthetic osteolysis, 0:nickel, prostate cancer, 0:nickel, squamous cell carcinoma",
TCN1,transcobalamin 1,cobalt(2+),"hypothyroidism, Chronic fatigue, Dyspnea, innate immune response, NLRP3 inflammasome complex",26:cobalt(2+),"1:hypothyroidism, 0:Chronic fatigue, 0:Dyspnea, 16:innate immune response, 0:NLRP3 inflammasome complex","23:cobalt(2+), hypothyroidism, 2:cobalt(2+), Chronic fatigue, 20:cobalt(2+), Dyspnea, 46:cobalt(2+), innate immune response, 1:cobalt(2+), NLRP3 inflammasome complex","0:cobalt(2+), hypothyroidism, 0:cobalt(2+), Chronic fatigue, 0:cobalt(2+), Dyspnea, 0:cobalt(2+), innate immune response, 0:cobalt(2+), NLRP3 inflammasome complex",
TCN2,transcobalamin 2,cobalt(2+),"cardiomyopathy, Chest tightness, Chronic fatigue, Cognitive impairment, Dyspnea, fibromyalgia, heart failure, hypothyroidism, innate immune response, melanoma (disease), NLRP3 inflammasome complex, Palpitations, prostate cancer, Tinnitus",28:cobalt(2+),"0:cardiomyopathy, 0:Chest tightness, 0:Chronic fatigue, 10:Cognitive impairment, 0:Dyspnea, 0:fibromyalgia, 2:heart failure, 1:hypothyroidism, 15:innate immune response, 0:melanoma (disease), 0:NLRP3 inflammasome complex, 0:Palpitations, 1:prostate cancer, 0:Tinnitus","49:cobalt(2+), cardiomyopathy, 1:cobalt(2+), Chest tightness, 2:cobalt(2+), Chronic fatigue, 9:cobalt(2+), Cognitive impairment, 20:cobalt(2+), Dyspnea, 1:cobalt(2+), fibromyalgia, 82:cobalt(2+), heart failure, 23:cobalt(2+), hypothyroidism, 46:cobalt(2+), innate immune response, 19:cobalt(2+), melanoma (disease), 1:cobalt(2+), NLRP3 inflammasome complex, 0:cobalt(2+), Palpitations, 116:cobalt(2+), prostate cancer, 5:cobalt(2+), Tinnitus","0:cobalt(2+), cardiomyopathy, 0:cobalt(2+), Chest tightness, 0:cobalt(2+), Chronic fatigue, 0:cobalt(2+), Cognitive impairment, 0:cobalt(2+), Dyspnea, 0:cobalt(2+), fibromyalgia, 0:cobalt(2+), heart failure, 0:cobalt(2+), hypothyroidism, 0:cobalt(2+), innate immune response, 0:cobalt(2+), melanoma (disease), 0:cobalt(2+), NLRP3 inflammasome complex, 0:cobalt(2+), Palpitations, 0:cobalt(2+), prostate cancer, 0:cobalt(2+), Tinnitus",5NSA:cobalt(2+)
TF,transferrin,"titanium, chromium","innate immune response, NLRP3 inflammasome complex, periprosthetic osteolysis, melanoma (disease)","53:titanium, 109:chromium","472:innate immune response, 0:NLRP3 inflammasome complex, 0:periprosthetic osteolysis, 29:melanoma (disease)","208:titanium, innate immune response, 1:titanium, NLRP3 inflammasome complex, 225:titanium, periprosthetic osteolysis, 20:chromium, melanoma (disease)","0:titanium, innate immune response, 0:titanium, NLRP3 inflammasome complex, 0:titanium, periprosthetic osteolysis, 0:chromium, melanoma (disease)",5DYH:titanium
TGFB1,transforming growth factor beta 1,chromium,"anaplastic large cell lymphoma, melanoma (disease)",15:chromium,"1:anaplastic large cell lymphoma, 50:melanoma (disease)","0:chromium, anaplastic large cell lymphoma, 20:chromium, melanoma (disease)","0:chromium, anaplastic large cell lymphoma, 0:chromium, melanoma (disease)",
THBS1,thrombospondin 1,nickel,"allergic contact dermatitis, innate immune response, NLRP3 inflammasome complex, periprosthetic osteolysis, prostate cancer, squamous cell carcinoma",4:nickel,"1:allergic contact dermatitis, 57:innate immune response, 0:NLRP3 inflammasome complex, 0:periprosthetic osteolysis, 74:prostate cancer, 50:squamous cell carcinoma","1912:nickel, allergic contact dermatitis, 145:nickel, innate immune response, 2:nickel, NLRP3 inflammasome complex, 5:nickel, periprosthetic osteolysis, 141:nickel, prostate cancer, 83:nickel, squamous cell carcinoma","0:nickel, allergic contact dermatitis, 0:nickel, innate immune response, 0:nickel, NLRP3 inflammasome complex, 0:nickel, periprosthetic osteolysis, 0:nickel, prostate cancer, 0:nickel, squamous cell carcinoma",
TIMP1,TIMP metallopeptidase inhibitor 1,titanium,"innate immune response, NLRP3 inflammasome complex, periprosthetic osteolysis",14:titanium,"40:innate immune response, 0:NLRP3 inflammasome complex, 7:periprosthetic osteolysis","208:titanium, innate immune response, 1:titanium, NLRP3 inflammasome complex, 225:titanium, periprosthetic osteolysis","0:titanium, innate immune response, 0:titanium, NLRP3 inflammasome complex, 1:titanium, periprosthetic osteolysis",
TNF,tumor necrosis factor,"chromium(6+), nickel, cobalt, chromium, titanium","melanoma (disease), anaplastic large cell lymphoma, allergic contact dermatitis, innate immune response, Localized skin lesion, metal allergy, NLRP3 inflammasome complex, periprosthetic osteolysis, prostate cancer, squamous cell carcinoma, cardiomyopathy, Chest tightness, Chronic fatigue, Cognitive impairment, Demyelinating polyneuropathy, demyelinating polyneuropathy, Dyspnea, fibromyalgia, heart failure, hypothyroidism, Palpitations, Tinnitus","112:chromium(6+), 172:nickel, 229:cobalt, 244:chromium, 443:titanium","544:melanoma (disease), 79:anaplastic large cell lymphoma, 212:allergic contact dermatitis, 8693:innate immune response, 14:Localized skin lesion, 197:metal allergy, 72:NLRP3 inflammasome complex, 125:periprosthetic osteolysis, 1191:prostate cancer, 1075:squamous cell carcinoma, 1765:cardiomyopathy, 13:Chest tightness, 275:Chronic fatigue, 1226:Cognitive impairment, 88:Demyelinating polyneuropathy, 88:demyelinating polyneuropathy, 231:Dyspnea, 102:fibromyalgia, 2581:heart failure, 114:hypothyroidism, 2:Palpitations, 26:Tinnitus","7:chromium(6+), melanoma (disease), 0:chromium(6+), anaplastic large cell lymphoma, 1912:nickel, allergic contact dermatitis, 0:nickel, anaplastic large cell lymphoma, 145:nickel, innate immune response, 2:nickel, Localized skin lesion, 2508:nickel, metal allergy, 2:nickel, NLRP3 inflammasome complex, 5:nickel, periprosthetic osteolysis, 141:nickel, prostate cancer, 83:nickel, squamous cell carcinoma, 272:cobalt, prostate cancer, 177:cobalt, cardiomyopathy, 4:cobalt, Chest tightness, 2:cobalt, Chronic fatigue, 22:cobalt, Cognitive impairment, 0:cobalt, Demyelinating polyneuropathy, 0:cobalt, demyelinating polyneuropathy, 62:cobalt, Dyspnea, 2:cobalt, fibromyalgia, 175:cobalt, heart failure, 57:cobalt, hypothyroidism, 138:cobalt, innate immune response, 36:cobalt, melanoma (disease), 3:cobalt, NLRP3 inflammasome complex, 0:cobalt, Palpitations, 65:cobalt, periprosthetic osteolysis, 12:cobalt, Tinnitus, 0:chromium, anaplastic large cell lymphoma, 20:chromium, melanoma (disease), 208:titanium, innate immune response, 1:titanium, NLRP3 inflammasome complex, 225:titanium, periprosthetic osteolysis","0:chromium(6+), melanoma (disease), 0:chromium(6+), anaplastic large cell lymphoma, 23:nickel, allergic contact dermatitis, 0:nickel, anaplastic large cell lymphoma, 6:nickel, innate immune response, 0:nickel, Localized skin lesion, 25:nickel, metal allergy, 0:nickel, NLRP3 inflammasome complex, 0:nickel, periprosthetic osteolysis, 0:nickel, prostate cancer, 1:nickel, squamous cell carcinoma, 1:cobalt, prostate cancer, 0:cobalt, cardiomyopathy, 0:cobalt, Chest tightness, 0:cobalt, Chronic fatigue, 0:cobalt, Cognitive impairment, 0:cobalt, Demyelinating polyneuropathy, 0:cobalt, demyelinating polyneuropathy, 1:cobalt, Dyspnea, 0:cobalt, fibromyalgia, 2:cobalt, heart failure, 0:cobalt, hypothyroidism, 2:cobalt, innate immune response, 0:cobalt, melanoma (disease), 0:cobalt, NLRP3 inflammasome complex, 0:cobalt, Palpitations, 5:cobalt, periprosthetic osteolysis, 0:cobalt, Tinnitus, 0:chromium, anaplastic large cell lymphoma, 0:chromium, melanoma (disease), 26:titanium, innate immune response, 0:titanium, NLRP3 inflammasome complex, 53:titanium, periprosthetic osteolysis",3ALQ:cobalt
TXN,thioredoxin,chromium(6+),"anaplastic large cell lymphoma, melanoma (disease)",3:chromium(6+),"1:anaplastic large cell lymphoma, 10:melanoma (disease)","0:chromium(6+), anaplastic large cell lymphoma, 7:chromium(6+), melanoma (disease)","0:chromium(6+), anaplastic large cell lymphoma, 0:chromium(6+), melanoma (disease)",
VEGFA,vascular endothelial growth factor A,"nickel, cobalt","periprosthetic osteolysis, allergic contact dermatitis, innate immune response, NLRP3 inflammasome complex, prostate cancer, squamous cell carcinoma, cardiomyopathy, Chest tightness, Chronic fatigue, Cognitive impairment, Demyelinating polyneuropathy, demyelinating polyneuropathy, Dyspnea, fibromyalgia, heart failure, hypothyroidism, melanoma (disease), Palpitations, Tinnitus","48:nickel, 269:cobalt","8:periprosthetic osteolysis, 12:allergic contact dermatitis, 201:innate immune response, 2:NLRP3 inflammasome complex, 830:prostate cancer, 1103:squamous cell carcinoma, 239:cardiomyopathy, 0:Chest tightness, 11:Chronic fatigue, 89:Cognitive impairment, 25:Demyelinating polyneuropathy, 25:demyelinating polyneuropathy, 27:Dyspnea, 4:fibromyalgia, 414:heart failure, 38:hypothyroidism, 206:melanoma (disease), 1:Palpitations, 3:Tinnitus","5:nickel, periprosthetic osteolysis, 1912:nickel, allergic contact dermatitis, 145:nickel, innate immune response, 2:nickel, NLRP3 inflammasome complex, 141:nickel, prostate cancer, 83:nickel, squamous cell carcinoma, 177:cobalt, cardiomyopathy, 4:cobalt, Chest tightness, 2:cobalt, Chronic fatigue, 22:cobalt, Cognitive impairment, 0:cobalt, Demyelinating polyneuropathy, 0:cobalt, demyelinating polyneuropathy, 62:cobalt, Dyspnea, 2:cobalt, fibromyalgia, 175:cobalt, heart failure, 57:cobalt, hypothyroidism, 138:cobalt, innate immune response, 36:cobalt, melanoma (disease), 3:cobalt, NLRP3 inflammasome complex, 0:cobalt, Palpitations, 65:cobalt, periprosthetic osteolysis, 272:cobalt, prostate cancer, 12:cobalt, Tinnitus","0:nickel, periprosthetic osteolysis, 3:nickel, allergic contact dermatitis, 0:nickel, innate immune response, 0:nickel, NLRP3 inflammasome complex, 1:nickel, prostate cancer, 0:nickel, squamous cell carcinoma, 2:cobalt, cardiomyopathy, 0:cobalt, Chest tightness, 0:cobalt, Chronic fatigue, 0:cobalt, Cognitive impairment, 0:cobalt, Demyelinating polyneuropathy, 0:cobalt, demyelinating polyneuropathy, 0:cobalt, Dyspnea, 0:cobalt, fibromyalgia, 2:cobalt, heart failure, 0:cobalt, hypothyroidism, 0:cobalt, innate immune response, 0:cobalt, melanoma (disease), 0:cobalt, NLRP3 inflammasome complex, 0:cobalt, Palpitations, 0:cobalt, periprosthetic osteolysis, 6:cobalt, prostate cancer, 0:cobalt, Tinnitus",
XPNPEP2,X-prolyl aminopeptidase 2,cobalt(2+),"cardiomyopathy, heart failure, hypothyroidism, innate immune response, NLRP3 inflammasome complex, prostate cancer",3:cobalt(2+),"0:cardiomyopathy, 0:heart failure, 0:hypothyroidism, 0:innate immune response, 0:NLRP3 inflammasome complex, 1:prostate cancer","49:cobalt(2+), cardiomyopathy, 82:cobalt(2+), heart failure, 23:cobalt(2+), hypothyroidism, 46:cobalt(2+), innate immune response, 1:cobalt(2+), NLRP3 inflammasome complex, 116:cobalt(2+), prostate cancer","0:cobalt(2+), cardiomyopathy, 0:cobalt(2+), heart failure, 0:cobalt(2+), hypothyroidism, 0:cobalt(2+), innate immune response, 0:cobalt(2+), NLRP3 inflammasome complex, 0:cobalt(2+), prostate cancer",
